,TREE_NUMBER,DESCRIPTOR
13239,C10.597.350.090.750,Gait Ataxia
13240,C10.597.350.110,Athetosis
13241,C10.597.350.200,Catalepsy
13242,C10.597.350.250,Chorea
13243,C10.597.350.275,"Dyskinesia, Drug-Induced"
13244,C10.597.350.275.500,Tardive Dyskinesia
13245,C10.597.350.300,Dystonia
13246,C10.597.350.300.800,Torticollis
13247,C10.597.350.350,Hyperkinesis
13248,C10.597.350.400,Hypokinesia
13249,C10.597.350.500,Myoclonus
13250,C10.597.350.500.500,Opsoclonus-Myoclonus Syndrome
13251,C10.597.350.600,Psychomotor Agitation
13252,C10.597.350.675,Synkinesis
13253,C10.597.350.700,Tics
13254,C10.597.350.850,Tremor
13255,C10.597.404,"Gait Disorders, Neurologic"
13256,C10.597.404.400,Gait Apraxia
13257,C10.597.404.450,Gait Ataxia
13258,C10.597.544,Meningism
13259,C10.597.606,Neurobehavioral Manifestations
13260,C10.597.606.057,Anhedonia
13261,C10.597.606.115,Catatonia
13262,C10.597.606.150,Communication Disorders
13263,C10.597.606.150.500,Language Disorders
13264,C10.597.606.150.500.050,Agraphia
13265,C10.597.606.150.500.090,Anomia
13266,C10.597.606.150.500.300,Dyslexia
13267,C10.597.606.150.500.300.200,"Dyslexia, Acquired"
13268,C10.597.606.150.500.300.200.100,"Alexia, Pure"
13269,C10.597.606.150.500.550,Language Development Disorders
13270,C10.597.606.150.500.800,Speech Disorders
13271,C10.597.606.150.500.800.100,Aphasia
13272,C10.597.606.150.500.800.100.100,"Aphasia, Broca"
13273,C10.597.606.150.500.800.100.111,"Aphasia, Conduction"
13274,C10.597.606.150.500.800.100.155,"Aphasia, Primary Progressive"
13275,C10.597.606.150.500.800.100.155.600,Primary Progressive Nonfluent Aphasia
13276,C10.597.606.150.500.800.100.166,"Aphasia, Wernicke"
13277,C10.597.606.150.500.800.150,Articulation Disorders
13278,C10.597.606.150.500.800.150.200,Dysarthria
13279,C10.597.606.150.500.800.300,Echolalia
13280,C10.597.606.150.500.800.500,Mutism
13281,C10.597.606.150.500.800.750,Stuttering
13282,C10.597.606.150.550,Learning Disorders
13283,C10.597.606.150.550.099,Dyscalculia
13284,C10.597.606.150.550.200,Dyslexia
13285,C10.597.606.150.550.200.500,"Dyslexia, Acquired"
13286,C10.597.606.337,Confusion
13287,C10.597.606.337.500,Delirium
13288,C10.597.606.337.500.500,Emergence Delirium
13289,C10.597.606.358,Consciousness Disorders
13290,C10.597.606.358.800,Unconsciousness
13291,C10.597.606.358.800.200,Coma
13292,C10.597.606.358.800.200.100,Brain Death
13293,C10.597.606.358.800.200.200,"Coma, Post-Head Injury"
13294,C10.597.606.358.800.200.600,Insulin Coma
13295,C10.597.606.358.800.400,Persistent Vegetative State
13296,C10.597.606.358.800.500,Stupor
13297,C10.597.606.358.800.600,Syncope
13298,C10.597.606.358.800.600.500,"Syncope, Vasovagal"
13299,C10.597.606.360,Intellectual Disability
13300,C10.597.606.360.180,Cri-du-Chat Syndrome
13301,C10.597.606.360.210,De Lange Syndrome
13302,C10.597.606.360.220,Down Syndrome
13303,C10.597.606.360.455,"Mental Retardation, X-Linked"
13304,C10.597.606.360.455.124,Adrenoleukodystrophy
13305,C10.597.606.360.455.249,Coffin-Lowry Syndrome
13306,C10.597.606.360.455.500,Fragile X Syndrome
13307,C10.597.606.360.455.562,Glycogen Storage Disease Type IIb
13308,C10.597.606.360.455.625,Lesch-Nyhan Syndrome
13309,C10.597.606.360.455.687,Menkes Kinky Hair Syndrome
13310,C10.597.606.360.455.750,Mucopolysaccharidosis II
13311,C10.597.606.360.455.875,Pyruvate Dehydrogenase Complex Deficiency Disease
13312,C10.597.606.360.455.937,Rett Syndrome
13313,C10.597.606.360.690,Prader-Willi Syndrome
13314,C10.597.606.360.700,Rubinstein-Taybi Syndrome
13315,C10.597.606.360.835,Trisomy 13 Syndrome
13316,C10.597.606.360.969,WAGR Syndrome
13317,C10.597.606.360.970,Williams Syndrome
13318,C10.597.606.441,Lethargy
13319,C10.597.606.525,Memory Disorders
13320,C10.597.606.525.100,Amnesia
13321,C10.597.606.525.100.075,"Amnesia, Anterograde"
13322,C10.597.606.525.100.150,"Amnesia, Retrograde"
13323,C10.597.606.525.100.800,"Amnesia, Transient Global"
13324,C10.597.606.525.400,Korsakoff Syndrome
13325,C10.597.606.525.400.500,Alcoholic Korsakoff Syndrome
13326,C10.597.606.762,Perceptual Disorders
13327,C10.597.606.762.100,Agnosia
13328,C10.597.606.762.100.300,Gerstmann Syndrome
13329,C10.597.606.762.100.650,Prosopagnosia
13330,C10.597.606.762.150,Alice in Wonderland Syndrome
13331,C10.597.606.762.175,Allesthesia
13332,C10.597.606.762.200,Auditory Perceptual Disorders
13333,C10.597.606.762.300,Hallucinations
13334,C10.597.606.762.300.500,Charles Bonnet Syndrome
13335,C10.597.606.762.400,Illusions
13336,C10.597.606.762.700,Phantom Limb
13337,C10.597.606.881,Psychomotor Disorders
13338,C10.597.606.881.350,Apraxias
13339,C10.597.606.881.350.099,Alien Hand Syndrome
13340,C10.597.606.881.350.200,"Apraxia, Ideomotor"
13341,C10.597.606.881.350.600,Gait Apraxia
13342,C10.597.606.881.700,Psychomotor Agitation
13343,C10.597.609,Neurogenic Inflammation
13344,C10.597.613,Neuromuscular Manifestations
13345,C10.597.613.250,Fasciculation
13346,C10.597.613.500,Muscle Cramp
13347,C10.597.613.550,Muscle Hypertonia
13348,C10.597.613.550.500,Muscle Rigidity
13349,C10.597.613.550.550,Muscle Spasticity
13350,C10.597.613.575,Muscle Hypotonia
13351,C10.597.613.593,Muscle Weakness
13352,C10.597.613.612,Muscular Atrophy
13353,C10.597.613.612.500,Sarcopenia
13354,C10.597.613.650,Myokymia
13355,C10.597.613.700,Myotonia
13356,C10.597.613.750,Spasm
13357,C10.597.613.750.400,Hemifacial Spasm
13358,C10.597.613.750.700,Trismus
13359,C10.597.613.875,Tetany
13360,C10.597.622,Paralysis
13361,C10.597.622.214,Facial Paralysis
13362,C10.597.622.295,Hemiplegia
13363,C10.597.622.447,Ophthalmoplegia
13364,C10.597.622.447.511,"Ophthalmoplegia, Chronic Progressive External"
13365,C10.597.622.447.511.500,Kearns-Sayre Syndrome
13366,C10.597.622.447.600,Ophthalmoplegic Migraine
13367,C10.597.622.447.690,"Supranuclear Palsy, Progressive"
13368,C10.597.622.669,Paraplegia
13369,C10.597.622.669.300,Brown-Sequard Syndrome
13370,C10.597.622.714,Pseudobulbar Palsy
13371,C10.597.622.760,Quadriplegia
13372,C10.597.622.812,Respiratory Paralysis
13373,C10.597.622.943,Vocal Cord Paralysis
13374,C10.597.636,Paresis
13375,C10.597.636.500,Paraparesis
13376,C10.597.636.500.500,"Paraparesis, Spastic"
13377,C10.597.690,Pupil Disorders
13378,C10.597.690.150,Anisocoria
13379,C10.597.690.362,Miosis
13380,C10.597.690.362.500,Horner Syndrome
13381,C10.597.690.575,Tonic Pupil
13382,C10.597.704,"Reflex, Abnormal"
13383,C10.597.742,Seizures
13384,C10.597.742.143,Alcohol Withdrawal Seizures
13385,C10.597.742.571,"Seizures, Febrile"
13386,C10.597.742.785,Status Epilepticus
13387,C10.597.742.785.260,Epilepsia Partialis Continua
13388,C10.597.751,Sensation Disorders
13389,C10.597.751.418,Hearing Disorders
13390,C10.597.751.418.341,Hearing Loss
13391,C10.597.751.418.341.186,Deafness
13392,C10.597.751.418.341.186.500,Deaf-Blind Disorders
13393,C10.597.751.418.341.186.500.500,Usher Syndromes
13394,C10.597.751.418.341.186.500.750,Wolfram Syndrome
13395,C10.597.751.418.341.374,"Hearing Loss, Bilateral"
13396,C10.597.751.418.341.562,"Hearing Loss, Conductive"
13397,C10.597.751.418.341.750,"Hearing Loss, Functional"
13398,C10.597.751.418.341.812,"Hearing Loss, High-Frequency"
13399,C10.597.751.418.341.849,"Hearing Loss, Mixed Conductive-Sensorineural"
13400,C10.597.751.418.341.887,"Hearing Loss, Sensorineural"
13401,C10.597.751.418.341.887.432,"Hearing Loss, Central"
13402,C10.597.751.418.341.887.460,"Hearing Loss, Noise-Induced"
13403,C10.597.751.418.341.887.772,Presbycusis
13404,C10.597.751.418.341.887.886,Usher Syndromes
13405,C10.597.751.418.341.900,"Hearing Loss, Sudden"
13406,C10.597.751.418.341.950,"Hearing Loss, Unilateral"
13407,C10.597.751.418.505,Hyperacusis
13408,C10.597.751.418.670,Tinnitus
13409,C10.597.751.600,Olfaction Disorders
13410,C10.597.751.791,Somatosensory Disorders
13411,C10.597.751.791.400,Hyperalgesia
13412,C10.597.751.791.450,Hyperesthesia
13413,C10.597.751.791.500,Hypesthesia
13414,C10.597.751.791.875,Paresthesia
13415,C10.597.751.861,Taste Disorders
13416,C10.597.751.861.184,Ageusia
13417,C10.597.751.861.479,Dysgeusia
13418,C10.597.751.941,Vision Disorders
13419,C10.597.751.941.036,Alice in Wonderland Syndrome
13420,C10.597.751.941.073,Amblyopia
13421,C10.597.751.941.162,Blindness
13422,C10.597.751.941.162.125,Amaurosis Fugax
13423,C10.597.751.941.162.250,"Blindness, Cortical"
13424,C10.597.751.941.162.625,Deaf-Blind Disorders
13425,C10.597.751.941.162.625.500,Usher Syndromes
13426,C10.597.751.941.162.625.750,Wolfram Syndrome
13427,C10.597.751.941.256,Color Vision Defects
13428,C10.597.751.941.339,Diplopia
13429,C10.597.751.941.512,Hemianopsia
13430,C10.597.751.941.661,Photophobia
13431,C10.597.751.941.811,Scotoma
13432,C10.597.751.941.905,"Vision, Low"
13433,C10.597.825,Susac Syndrome
13434,C10.597.900,"Urinary Bladder, Neurogenic"
13435,C10.597.951,Vertigo
13436,C10.597.951.500,Benign Paroxysmal Positional Vertigo
13437,C10.597.975,Voice Disorders
13438,C10.597.975.100,Aphonia
13439,C10.597.975.325,Dysphonia
13440,C10.597.975.550,Hoarseness
13441,C10.668,Neuromuscular Diseases
13442,C10.668.364,"Fatigue Syndrome, Chronic"
13443,C10.668.467,Motor Neuron Disease
13444,C10.668.467.250,Amyotrophic Lateral Sclerosis
13445,C10.668.467.300,"Bulbar Palsy, Progressive"
13446,C10.668.467.500,"Muscular Atrophy, Spinal"
13447,C10.668.467.500.186,"Bulbo-Spinal Atrophy, X-Linked"
13448,C10.668.467.500.750,Spinal Muscular Atrophies of Childhood
13449,C10.668.491,Muscular Diseases
13450,C10.668.491.050,Eosinophilia-Myalgia Syndrome
13451,C10.668.491.087,Medial Tibial Stress Syndrome
13452,C10.668.491.175,"Muscular Disorders, Atrophic"
13453,C10.668.491.175.500,Muscular Dystrophies
13454,C10.668.491.175.500.074,Distal Myopathies
13455,C10.668.491.175.500.112,Glycogen Storage Disease Type VII
13456,C10.668.491.175.500.149,"Muscular Dystrophies, Limb-Girdle"
13457,C10.668.491.175.500.149.500,Sarcoglycanopathies
13458,C10.668.491.175.500.300,"Muscular Dystrophy, Duchenne"
13459,C10.668.491.175.500.350,"Muscular Dystrophy, Emery-Dreifuss"
13460,C10.668.491.175.500.400,"Muscular Dystrophy, Facioscapulohumeral"
13461,C10.668.491.175.500.450,"Muscular Dystrophy, Oculopharyngeal"
13462,C10.668.491.175.500.500,Myotonic Dystrophy
13463,C10.668.491.175.750,Postpoliomyelitis Syndrome
13464,C10.668.491.425,Fibromyalgia
13465,C10.668.491.500,Mitochondrial Myopathies
13466,C10.668.491.500.500,Mitochondrial Encephalomyopathies
13467,C10.668.491.500.500.500,MELAS Syndrome
13468,C10.668.491.500.500.550,MERRF Syndrome
13469,C10.668.491.500.700,"Ophthalmoplegia, Chronic Progressive External"
13470,C10.668.491.500.700.500,Kearns-Sayre Syndrome
13471,C10.668.491.525,Myalgia
13472,C10.668.491.550,"Myopathies, Structural, Congenital"
13473,C10.668.491.550.290,"Myopathies, Nemaline"
13474,C10.668.491.550.300,"Myopathy, Central Core"
13475,C10.668.491.562,Myositis
13476,C10.668.491.562.500,"Myositis, Inclusion Body"
13477,C10.668.491.562.537,Orbital Myositis
13478,C10.668.491.562.575,Polymyositis
13479,C10.668.491.562.575.500,Dermatomyositis
13480,C10.668.491.562.787,Pyomyositis
13481,C10.668.491.606,Myotonic Disorders
13482,C10.668.491.606.500,Myotonia Congenita
13483,C10.668.491.606.750,Myotonic Dystrophy
13484,C10.668.491.650,"Paralyses, Familial Periodic"
13485,C10.668.491.650.450,Hypokalemic Periodic Paralysis
13486,C10.668.491.650.600,"Paralysis, Hyperkalemic Periodic"
13487,C10.668.758,Neuromuscular Junction Diseases
13488,C10.668.758.200,Botulism
13489,C10.668.758.450,Lambert-Eaton Myasthenic Syndrome
13490,C10.668.758.725,Myasthenia Gravis
13491,C10.668.758.725.300,"Myasthenia Gravis, Autoimmune, Experimental"
13492,C10.668.758.725.650,"Myasthenia Gravis, Neonatal"
13493,C10.668.758.800,"Myasthenic Syndromes, Congenital"
13494,C10.668.829,Peripheral Nervous System Diseases
13495,C10.668.829.025,Acrodynia
13496,C10.668.829.050,Amyloid Neuropathies
13497,C10.668.829.050.050,"Amyloid Neuropathies, Familial"
13498,C10.668.829.100,Brachial Plexus Neuropathies
13499,C10.668.829.100.500,Brachial Plexus Neuritis
13500,C10.668.829.100.750,Neonatal Brachial Plexus Palsy
13501,C10.668.829.250,Complex Regional Pain Syndromes
13502,C10.668.829.250.200,Causalgia
13503,C10.668.829.250.800,Reflex Sympathetic Dystrophy
13504,C10.668.829.300,Diabetic Neuropathies
13505,C10.668.829.325,Giant Axonal Neuropathy
13506,C10.668.829.350,Guillain-Barre Syndrome
13507,C10.668.829.350.500,Miller Fisher Syndrome
13508,C10.668.829.380,Hand-Arm Vibration Syndrome
13509,C10.668.829.425,Isaacs Syndrome
13510,C10.668.829.500,Mononeuropathies
13511,C10.668.829.500.200,Femoral Neuropathy
13512,C10.668.829.500.500,Median Neuropathy
13513,C10.668.829.500.500.200,Carpal Tunnel Syndrome
13514,C10.668.829.500.600,Peroneal Neuropathies
13515,C10.668.829.500.650,Radial Neuropathy
13516,C10.668.829.500.675,Sciatic Neuropathy
13517,C10.668.829.500.675.399,Piriformis Muscle Syndrome
13518,C10.668.829.500.675.800,Sciatica
13519,C10.668.829.500.700,Tibial Neuropathy
13520,C10.668.829.500.700.800,Tarsal Tunnel Syndrome
13521,C10.668.829.500.850,Ulnar Neuropathies
13522,C10.668.829.500.850.200,Cubital Tunnel Syndrome
13523,C10.668.829.500.850.600,Ulnar Nerve Compression Syndromes
13524,C10.668.829.550,Nerve Compression Syndromes
13525,C10.668.829.550.200,Carpal Tunnel Syndrome
13526,C10.668.829.550.350,Cauda Equina Syndrome
13527,C10.668.829.550.500,Piriformis Muscle Syndrome
13528,C10.668.829.550.650,Pudendal Neuralgia
13529,C10.668.829.550.800,Tarsal Tunnel Syndrome
13530,C10.668.829.550.850,Thoracic Outlet Syndrome
13531,C10.668.829.550.850.200,Cervical Rib Syndrome
13532,C10.668.829.550.925,Ulnar Nerve Compression Syndromes
13533,C10.668.829.550.925.200,Cubital Tunnel Syndrome
13534,C10.668.829.600,Neuralgia
13535,C10.668.829.600.200,Causalgia
13536,C10.668.829.600.375,Morton Neuroma
13537,C10.668.829.600.550,"Neuralgia, Postherpetic"
13538,C10.668.829.600.675,Piriformis Muscle Syndrome
13539,C10.668.829.600.737,Pudendal Neuralgia
13540,C10.668.829.600.800,Sciatica
13541,C10.668.829.650,Neuritis
13542,C10.668.829.650.250,Brachial Plexus Neuritis
13543,C10.668.829.650.500,"Neuritis, Autoimmune, Experimental"
13544,C10.668.829.675,Neurofibromatosis 1
13545,C10.668.829.700,"Pain Insensitivity, Congenital"
13546,C10.668.829.712,Peripheral Nerve Injuries
13547,C10.668.829.725,Peripheral Nervous System Neoplasms
13548,C10.668.829.725.500,Nerve Sheath Neoplasms
13549,C10.668.829.725.500.600,Neurofibroma
13550,C10.668.829.725.500.600.500,"Neurofibroma, Plexiform"
13551,C10.668.829.725.500.600.600,Neurofibrosarcoma
13552,C10.668.829.800,Polyneuropathies
13553,C10.668.829.800.050,Alcoholic Neuropathy
13554,C10.668.829.800.175,Hereditary Sensory and Autonomic Neuropathies
13555,C10.668.829.800.175.250,"Dysautonomia, Familial"
13556,C10.668.829.800.300,Hereditary Sensory and Motor Neuropathy
13557,C10.668.829.800.300.099,Alstrom Syndrome
13558,C10.668.829.800.300.200,Charcot-Marie-Tooth Disease
13559,C10.668.829.800.300.490,Giant Axonal Neuropathy
13560,C10.668.829.800.300.780,Refsum Disease
13561,C10.668.829.800.300.820,"Spastic Paraplegia, Hereditary"
13562,C10.668.829.800.662,Paraneoplastic Polyneuropathy
13563,C10.668.829.800.700,POEMS Syndrome
13564,C10.668.829.800.750,Polyradiculoneuropathy
13565,C10.668.829.800.750.150,Cauda Equina Syndrome
13566,C10.668.829.800.750.300,Guillain-Barre Syndrome
13567,C10.668.829.800.750.300.500,Miller Fisher Syndrome
13568,C10.668.829.800.750.600,"Polyradiculoneuropathy, Chronic Inflammatory Demye"
13570,C10.668.829.800.750.700,Polyradiculopathy
13571,C10.668.829.800.875,Tangier Disease
13572,C10.668.829.820,Radiculopathy
13573,C10.668.829.860,Small Fiber Neuropathy
13574,C10.668.829.900,Tarlov Cysts
13575,C10.668.864,Poliomyelitis
13576,C10.668.864.250,"Poliomyelitis, Bulbar"
13577,C10.668.864.500,Postpoliomyelitis Syndrome
13578,C10.668.900,Stiff-Person Syndrome
13579,C10.720,Neurotoxicity Syndromes
13580,C10.720.075,"Akathisia, Drug-Induced"
13581,C10.720.112,"Alcohol-Induced Disorders, Nervous System"
13582,C10.720.112.100,Alcohol Amnestic Disorder
13583,C10.720.112.100.250,Alcoholic Korsakoff Syndrome
13584,C10.720.112.200,Alcohol Withdrawal Delirium
13585,C10.720.112.300,Alcohol Withdrawal Seizures
13586,C10.720.112.400,Alcoholic Neuropathy
13587,C10.720.150,Botulism
13588,C10.720.312,"Dyskinesia, Drug-Induced"
13589,C10.720.475,"Heavy Metal Poisoning, Nervous System"
13590,C10.720.475.150,Arsenic Poisoning
13591,C10.720.475.400,"Lead Poisoning, Nervous System"
13592,C10.720.475.400.350,"Lead Poisoning, Nervous System, Adult"
13593,C10.720.475.400.700,"Lead Poisoning, Nervous System, Childhood"
13594,C10.720.475.500,Manganese Poisoning
13595,C10.720.475.600,"Mercury Poisoning, Nervous System"
13596,C10.720.475.600.150,Acrodynia
13597,C10.720.606,MPTP Poisoning
13598,C10.720.737,Neuroleptic Malignant Syndrome
13599,C10.803,Restless Legs Syndrome
13600,C10.886,Sleep Wake Disorders
13601,C10.886.425,Dyssomnias
13602,C10.886.425.175,Sleep Deprivation
13603,C10.886.425.200,"Sleep Disorders, Circadian Rhythm"
13604,C10.886.425.200.500,Jet Lag Syndrome
13605,C10.886.425.800,"Sleep Disorders, Intrinsic"
13606,C10.886.425.800.200,Disorders of Excessive Somnolence
13607,C10.886.425.800.200.400,"Hypersomnolence, Idiopathic"
13608,C10.886.425.800.200.500,Kleine-Levin Syndrome
13609,C10.886.425.800.200.750,Narcolepsy
13610,C10.886.425.800.200.750.500,Cataplexy
13611,C10.886.425.800.600,Nocturnal Myoclonus Syndrome
13612,C10.886.425.800.700,Restless Legs Syndrome
13613,C10.886.425.800.750,Sleep Apnea Syndromes
13614,C10.886.425.800.750.800,"Sleep Apnea, Central"
13615,C10.886.425.800.750.850,"Sleep Apnea, Obstructive"
13616,C10.886.425.800.750.850.500,Obesity Hypoventilation Syndrome
13617,C10.886.425.800.800,Sleep Initiation and Maintenance Disorders
13618,C10.886.425.800.800.400,"Insomnia, Fatal Familial"
13619,C10.886.659,Parasomnias
13620,C10.886.659.618,Nocturnal Myoclonus Syndrome
13621,C10.886.659.627,Nocturnal Paroxysmal Dystonia
13622,C10.886.659.633,REM Sleep Parasomnias
13623,C10.886.659.633.700,REM Sleep Behavior Disorder
13624,C10.886.659.633.800,Sleep Paralysis
13625,C10.886.659.634,Restless Legs Syndrome
13626,C10.886.659.635,Sleep Arousal Disorders
13627,C10.886.659.635.600,Night Terrors
13628,C10.886.659.635.700,Somnambulism
13629,C10.886.659.637,Sleep Bruxism
13630,C10.886.659.700,Sleep-Wake Transition Disorders
13631,C10.900,"Trauma, Nervous System"
13632,C10.900.250,Cerebrovascular Trauma
13633,C10.900.250.300,Carotid Artery Injuries
13634,C10.900.250.300.300,"Carotid Artery, Internal, Dissection"
13635,C10.900.250.300.400,Carotid-Cavernous Sinus Fistula
13636,C10.900.250.650,Vertebral Artery Dissection
13637,C10.900.300,Craniocerebral Trauma
13638,C10.900.300.087,Brain Injuries
13639,C10.900.300.087.187,"Brain Hemorrhage, Traumatic"
13640,C10.900.300.087.187.200,"Brain Stem Hemorrhage, Traumatic"
13641,C10.900.300.087.187.300,"Cerebral Hemorrhage, Traumatic"
13642,C10.900.300.087.219,"Brain Injuries, Diffuse"
13643,C10.900.300.087.219.500,Diffuse Axonal Injury
13644,C10.900.300.087.235,"Brain Injuries, Traumatic"
13645,C10.900.300.087.235.250,Brain Concussion
13646,C10.900.300.087.235.375,Brain Contusion
13647,C10.900.300.087.235.500,Chronic Traumatic Encephalopathy
13648,C10.900.300.087.250,"Brain Injury, Chronic"
13649,C10.900.300.087.250.500,Chronic Traumatic Encephalopathy
13650,C10.900.300.087.600,"Epilepsy, Post-Traumatic"
13651,C10.900.300.087.700,Pneumocephalus
13652,C10.900.300.087.850,Shaken Baby Syndrome
13653,C10.900.300.109,Cerebrospinal Fluid Leak
13654,C10.900.300.109.500,Cerebrospinal Fluid Otorrhea
13655,C10.900.300.109.750,Cerebrospinal Fluid Rhinorrhea
13656,C10.900.300.175,"Coma, Post-Head Injury"
13657,C10.900.300.218,Cranial Nerve Injuries
13658,C10.900.300.218.150,Abducens Nerve Injury
13659,C10.900.300.218.225,Accessory Nerve Injuries
13660,C10.900.300.218.300,Facial Nerve Injuries
13661,C10.900.300.218.331,Glossopharyngeal Nerve Injuries
13662,C10.900.300.218.362,Hypoglossal Nerve Injuries
13663,C10.900.300.218.456,Oculomotor Nerve Injuries
13664,C10.900.300.218.487,Olfactory Nerve Injuries
13665,C10.900.300.218.550,Optic Nerve Injuries
13666,C10.900.300.218.775,Trigeminal Nerve Injuries
13667,C10.900.300.218.775.500,Lingual Nerve Injuries
13668,C10.900.300.218.831,Trochlear Nerve Injuries
13669,C10.900.300.218.887,Vagus Nerve Injuries
13670,C10.900.300.218.887.750,Laryngeal Nerve Injuries
13671,C10.900.300.218.887.750.500,Recurrent Laryngeal Nerve Injuries
13672,C10.900.300.218.943,Vestibulocochlear Nerve Injuries
13673,C10.900.300.284,Facial Injuries
13674,C10.900.300.284.250,Eye Injuries
13675,C10.900.300.284.250.124,Corneal Injuries
13676,C10.900.300.284.250.124.500,Corneal Perforation
13677,C10.900.300.284.250.250,Eye Burns
13678,C10.900.300.284.250.260,Eye Foreign Bodies
13679,C10.900.300.284.250.270,"Eye Injuries, Penetrating"
13680,C10.900.300.284.500,Maxillofacial Injuries
13681,C10.900.300.284.500.400,Jaw Fractures
13682,C10.900.300.284.500.400.255,Mandibular Fractures
13683,C10.900.300.284.500.400.510,Maxillary Fractures
13684,C10.900.300.284.500.500,Mandibular Injuries
13685,C10.900.300.284.500.550,Orbital Fractures
13686,C10.900.300.284.500.950,Zygomatic Fractures
13687,C10.900.300.350,"Head Injuries, Closed"
13688,C10.900.300.350.300,Brain Concussion
13689,C10.900.300.350.300.250,Contrecoup Injury
13690,C10.900.300.350.300.500,Post-Concussion Syndrome
13691,C10.900.300.675,"Head Injuries, Penetrating"
13692,C10.900.300.837,"Intracranial Hemorrhage, Traumatic"
13693,C10.900.300.837.150,"Brain Hemorrhage, Traumatic"
13694,C10.900.300.837.150.300,"Brain Stem Hemorrhage, Traumatic"
13695,C10.900.300.837.150.650,"Cerebral Hemorrhage, Traumatic"
13696,C10.900.300.837.300,"Hematoma, Epidural, Cranial"
13697,C10.900.300.837.600,"Hematoma, Subdural"
13698,C10.900.300.837.600.050,"Hematoma, Subdural, Acute"
13699,C10.900.300.837.600.120,"Hematoma, Subdural, Chronic"
13700,C10.900.300.837.600.400,"Hematoma, Subdural, Intracranial"
13701,C10.900.300.837.800,"Subarachnoid Hemorrhage, Traumatic"
13702,C10.900.300.918,Skull Fractures
13703,C10.900.300.918.150,"Skull Fracture, Basilar"
13704,C10.900.300.918.300,"Skull Fracture, Depressed"
13705,C10.900.575,Peripheral Nerve Injuries
13706,C10.900.850,Spinal Cord Injuries
13707,C10.900.850.250,Autonomic Dysreflexia
13708,C10.900.850.625,Central Cord Syndrome
13709,C11,Eye Diseases
13710,C11.093,Asthenopia
13711,C11.180,Cogan Syndrome
13712,C11.187,Conjunctival Diseases
13713,C11.187.169,Conjunctival Neoplasms
13714,C11.187.183,Conjunctivitis
13715,C11.187.183.200,"Conjunctivitis, Allergic"
13716,C11.187.183.220,"Conjunctivitis, Bacterial"
13717,C11.187.183.220.250,"Conjunctivitis, Inclusion"
13718,C11.187.183.220.538,Ophthalmia Neonatorum
13719,C11.187.183.220.889,Trachoma
13720,C11.187.183.240,"Conjunctivitis, Viral"
13721,C11.187.183.240.216,"Conjunctivitis, Acute Hemorrhagic"
13722,C11.187.183.394,Keratoconjunctivitis
13723,C11.187.183.394.500,Keratoconjunctivitis Sicca
13724,C11.187.183.394.520,"Keratoconjunctivitis, Infectious"
13725,C11.187.482,"Pemphigoid, Benign Mucous Membrane"
13726,C11.187.631,Pinguecula
13727,C11.187.781,Pterygium
13728,C11.187.810,Xerophthalmia
13729,C11.204,Corneal Diseases
13730,C11.204.236,"Corneal Dystrophies, Hereditary"
13731,C11.204.236.218,"Corneal Dystrophy, Juvenile Epithelial of Meesmann"
13732,C11.204.236.438,Fuchs' Endothelial Dystrophy
13733,C11.204.267,Corneal Edema
13734,C11.204.278,Corneal Endothelial Cell Loss
13735,C11.204.284,Corneal Injuries
13736,C11.204.284.500,Corneal Perforation
13737,C11.204.290,Corneal Neovascularization
13738,C11.204.299,Corneal Opacity
13739,C11.204.299.070,Arcus Senilis
13740,C11.204.431,Corneal Wavefront Aberration
13741,C11.204.497,Iridocorneal Endothelial Syndrome
13742,C11.204.564,Keratitis
13743,C11.204.564.112,Acanthamoeba Keratitis
13744,C11.204.564.225,Corneal Ulcer
13745,C11.204.564.425,"Keratitis, Herpetic"
13746,C11.204.564.425.450,"Keratitis, Dendritic"
13747,C11.204.564.585,Keratoconjunctivitis
13748,C11.204.564.585.500,"Keratoconjunctivitis, Infectious"
13749,C11.204.564.585.630,Keratoconjunctivitis Sicca
13750,C11.204.627,Keratoconus
13751,C11.204.813,Trachoma
13752,C11.250,Eye Abnormalities
13753,C11.250.060,Aniridia
13754,C11.250.060.950,WAGR Syndrome
13755,C11.250.080,Anophthalmos
13756,C11.250.090,Blepharophimosis
13757,C11.250.110,Coloboma
13758,C11.250.300,Ectopia Lentis
13759,C11.250.390,Fraser Syndrome
13760,C11.250.480,Hydrophthalmos
13761,C11.250.566,Microphthalmos
13762,C11.250.616,Persistent Hyperplastic Primary Vitreous
13763,C11.250.666,Retinal Dysplasia
13764,C11.270,"Eye Diseases, Hereditary"
13765,C11.270.019,Aicardi Syndrome
13766,C11.270.040,Albinism
13767,C11.270.040.090,"Albinism, Ocular"
13768,C11.270.040.545,"Albinism, Oculocutaneous"
13769,C11.270.040.545.400,Hermanski-Pudlak Syndrome
13770,C11.270.040.772,Chediak-Higashi Syndrome
13771,C11.270.040.772.270,Aleutian Mink Disease
13772,C11.270.060,Aniridia
13773,C11.270.060.950,WAGR Syndrome
13774,C11.270.142,Choroideremia
13775,C11.270.147,Coloboma
13776,C11.270.147.500,CHARGE Syndrome
13777,C11.270.147.750,Mandibulofacial Dysostosis
13778,C11.270.151,Cone Dystrophy
13779,C11.270.151.500,Color Vision Defects
13780,C11.270.152,Cone-Rod Dystrophies
