ncRNA Symbol,ncRNA Category,Species,Disease Name,Sample,Dysfunction Pattern,Validated Method,Description,Clinical Application,Causality,Causal Description,PubMed ID
LNC_000201,LncRNA,Mus musculus,Myocardial Reperfusion Injury,left ventricle,Expression[lower expressed],qRT-PCR//RNA-seq//Western Blot,"To identify differentially expressed mRNAs, lncRNAs, and circRNAs between the MIRI and sham groups, we used RNA sequencing. The results showed that a total of 162 mRNAs were differentially expressed with a >2-fold change, with p < 0.05. Among them, 64 mRNAs were upregulated and 98 mRNAs were downregulated, and there were 20 differentially expressed lncRNAs. There were 10 upregulated and 10 downregulated lncRNAs. The top 10 up- and downregulated mRNAs and lncRNAs are listed in Table 10.",,No,,30974198
LNC_000009,LncRNA,Mus musculus,Myocardial Reperfusion Injury,left ventricle,Expression[highly expressed],qRT-PCR//RNA-seq//Western Blot,"To identify differentially expressed mRNAs, lncRNAs, and circRNAs between the MIRI and sham groups, we used RNA sequencing. The results showed that a total of 162 mRNAs were differentially expressed with a >2-fold change, with p < 0.05. Among them, 64 mRNAs were upregulated and 98 mRNAs were downregulated, and there were 20 differentially expressed lncRNAs. There were 10 upregulated and 10 downregulated lncRNAs. The top 10 up- and downregulated mRNAs and lncRNAs are listed in Table 5.",,No,,30974198
lnc-ATMIN-4:2,LncRNA,Homo sapiens,Stomach Neoplasms,AGC tissue,Expression(highly expressed),ISH//RNA-seq,"High (>30 dots) lnc-ATMIN-4:2 expression significantly correlated with younger age, poorly differentiated histology, diffuse type, deeper invasion depth, perineural invasion, lymph node metastasis, and higher stage group. In addition, high lnc-ATMIN-4:2 expression was significantly associated with worse overall survival in patients with AGC.","High (>30 dots) lnc-ATMIN-4:2 expression significantly correlated with younger age, poorly differentiated histology, diffuse type, deeper invasion depth, perineural invasion, lymph node metastasis, and higher stage group. In addition, high lnc-ATMIN-4:2 expression was significantly associated with worse overall survival in patients with AGC.",No,,36316044
lnc-CPLC,LncRNA,Homo sapiens,Colorectal Neoplasms,CRC tissues,Interaction(miR-4319/ZBTB34 signal axis ),qRT-PCR//FISH//Luciferase Report Assay//Western Blot,"We found that ZBTB34 and lnc-CPLC (CRC progression-associated lncRNA) had a strong correlation, which plays a key role in the regulation of CRC. Our results reveal the mechanism of the lnc-CPLC/miR-4319/ZBTB34 signal axis in CRC and provide evidence for elucidating the complex molecular mechanisms in tumors.",,No,,34741317
LMTK3-201,LncRNA,Homo sapiens,acral lentiginous melanoma,tumor and six adjacent non-tumor tissues, Expression[lower expressed],qRT-PCR//Microarray,"The top 5 downregulated lncRNAs were TCONS_00013495, T367528, ENST00000598924, T050010 and TCONS_00010142.", ,No,,31966073
lnc-CSTB-1,LncRNA,Homo sapiens,Alzheimer Disease,blood,Expression[lower expressed],qRT-PCR//Microarray," As shown in Fig. 4, compatible with microarray results, expression of lncRNA lnc-AL445989.1-2, TTC39C-AS1, and LINC01420 is significantly high, and lnc-CSTB-1 and LOC401560 are significantly low in the patient group when compared with control groups.",,No,,32885358
LNCNEF,LncRNA,Homo sapiens,"Carcinoma, Non-Small-Cell Lung",Tumor and adjacent healthy tissue samples,Expression[lower expressed],qRT-PCR//Western Blot,"Expression of lncRNA-NEF is downregulated in tumor tissues, compared with adjacent healthy tissues in patients with NSCLC"," It was identified that lncRNA-NEF was downregulated in NSCLC tissues, compared with healthy controls, and the serum level of lncRNA-NEF was negatively associated with primary tumor stage. Therefore, serum lncRNA-NEF may be a sensitive diagnostic and prognostic marker for NSCLC.",No,,30854054
LNCNEF,LncRNA,Homo sapiens,"Spondylitis, Ankylosing", synovial fluid of AS patients ,Expression(highly expressed),qRT-PCR//Transfection//Western Blot," Our study observed that lncRNA-NEF expression was upregulated in synovial fluid of AS patients and significantly correlated with the ASDAS 1-4, BASDAI, erythrocyte sedimentation rate (ESR), and C-reactive protein level (p < .05). Treatment with nonsteroidal anti-inflammatory drugs significantly downregulated lncRNA-NEF expression (p < .01).", A 3-year follow-up showed that patients with high lncRNA-NEF levels had a high recurrence rate (hazard ratio = 2.266). ,No,,35894706
lnc-MSRB3-5:1,LncRNA,Homo sapiens,Squamous Cell Carcinoma of Head and Neck,OSCC tissues,Expression[highly expressed],qRT-PCR//Microarray,"To explore the role of lncRNAs in OSCC, we performed a genome-wide analysis of lncRNA and mRNA expression in OSCC and normal tissues. The results of the microarray assays showed that 2,294 differentially expressed lncRNAs (accounting for 2.9% of all detectable lncRNAs) and 1,938 differentially expressed mRNAs (accounting for 10.3% of all detectable mRNAs) were identified. Furthermore, 933 lncRNAs and 891 mRNAs were upregulated and 1,361 lncRNAs and 1,047 mRNAs were downregulated. The most upregulated lncRNA and mRNA were MANSC4-8:1 (FC=201.36) and MMP7 (FC=2167.59), respectively. The most downregulated lncRNA and mRNA were NR_117092 (FC=418.62) and IL36A (FC=257.61), respectively. The top 20 dysregulated lncRNAs and mRNAs are summarized in Tables III and ​andIV,IV, respectively.",,No,,30431131
lnc-MICAL3-2,LncRNA,Homo sapiens,Breast Neoplasms, breast cancer samples ,Expression [lower expressed],Bioinformatics Analysis,"Expression levels of lnc-MICAL3-2, lnc-DDX31, LINC01063, LINC02381, ENST0000615051 and lnc-TRIM43B-1 were significantly decreased in breast cancer samples compared with paired control tissues (Posterior mean difference= -2.774, -2.012, -2.012, -2.015, -0.884 and -2.872; P values= 0.019, 0.0001, 0.0001, 0.0001, 0.032 and 0.0001, respectively). ",,No,,34175685
lnc-MEG3,LncRNA,Homo sapiens,Ischemic Stroke,peripheral blood mononuclear cells,Regulation(miR-21),qRT-PCR//ELISA,"Lnc-MEG3 expression was increased in AIS patients and could differentiate AIS patients from controls using receiver operating characteristic (ROC) curve analysis with area under the curve (AUC) of 0.874 and a 95% confidence interval (CI) of 0.833-0.914. Lnc-MEG3 expression was positively correlated with tumor necrosis factor (TNF)-α, interleukin (IL)-6, IL-17A and the National Institutes of Health Stroke Scale (NIHSS) score, and its high expression was also correlated with elevated accumulating recurrence rate in AIS patients. In addition, lnc-MEG3 expression was negatively correlated with miR-21 expression in AIS patients. Regarding miR-21, it was reduced in AIS patients and could differentiate AIS patients from controls with AUC of 0.889 (95% CI: 0.850-0.927). ","Lnc-MEG3 expression was positively correlated with tumor necrosis factor (TNF)-α, interleukin (IL)-6, IL-17A and the National Institutes of Health Stroke Scale (NIHSS) score, and its high expression was also correlated with elevated accumulating recurrence rate in AIS patients.",No,,34607195
lnc-MB21D1-3:5,LncRNA,Homo sapiens,Stomach Neoplasms,GC patients,Regulation,qRT-PCR//Bioinformatics Analysis//Microarray," Nine miRNAs and eight lncRNAs were obtained from the microarray analysis. Six miRNAs (miR-550a-5p, miRNA-936, miR-1306-3p, miR-3185, miR-6083, miR-6792-3p) and three lncRNAs (lnc-MB21D1-3:5, lnc-PSCA-4:2 and lnc-ABCC5-2:1) were abnormally expressed in circulating and tissue samples compared with normal control (NC), which was closely related to clinical pathology and survival time of GC patients; circRNA sequencing and qRT-PCR revealed four circRNAs (circASHL2, circCCDC9, circNHSL1 and cirMLLT10) were abnormally expressed in GC tissues and parts of them were negative relationship with their predicted binding miRNAs. ",,No,,34295803
LNC-MANSC4-8:1,LncRNA,Homo sapiens,Squamous Cell Carcinoma of Head and Neck,OSCC tissues,Expression[highly expressed],qRT-PCR//Microarray,"To explore the role of lncRNAs in OSCC, we performed a genome-wide analysis of lncRNA and mRNA expression in OSCC and normal tissues. The results of the microarray assays showed that 2,294 differentially expressed lncRNAs (accounting for 2.9% of all detectable lncRNAs) and 1,938 differentially expressed mRNAs (accounting for 10.3% of all detectable mRNAs) were identified. Furthermore, 933 lncRNAs and 891 mRNAs were upregulated and 1,361 lncRNAs and 1,047 mRNAs were downregulated. The most upregulated lncRNA and mRNA were MANSC4-8:1 (FC=201.36) and MMP7 (FC=2167.59), respectively. The most downregulated lncRNA and mRNA were NR_117092 (FC=418.62) and IL36A (FC=257.61), respectively. The top 20 dysregulated lncRNAs and mRNAs are summarized in Tables III and ​andIV,IV, respectively.",,No,,30431131
MALAT1,LncRNA,Homo sapiens,Cardiovascular Diseases,AMI patients,Expression(highly expressed),qRT-PCR//ELISA," Lnc-MALAT1 was higher in AMI patients than in controls (median: 2.245 vs. 0.996, p = 0.004), and it also presented a good capacity for differentiating AMI patients from controls with an area under the curve of 0.823. Meanwhile, lnc-MALAT1 was positively associated with tumor necrosis factor-alpha (p = 0.001), interleukin (IL)-6 (p = 0.031), IL-17A (p = 0.042), vascular cell adhesion molecule-1 (p = 0.004), and intercellular adhesion molecule-1 (p = 0.021) among AMI patients. Importantly, after categorization, lnc-MALAT1 high (vs. low) was related to an elevated MACE accumulation rate (p = 0.035); furthermore, a higher lnc-MALAT1 quartile showed a trend to be linked with an increased MACE accumulation rate (p = 0.092)."," Lnc-MALAT1 was higher in AMI patients than in controls (median: 2.245 vs. 0.996, p = 0.004), and it also presented a good capacity for differentiating AMI patients from controls with an area under the curve of 0.823. ",No,,36378551
lnc-LOC,LncRNA,Homo sapiens,acute promyelocytic leukemia,"BM and peripheral blood (PB) sample of APL, APL cell lines ",Expression(highly expressed),qRT-PCR,"Our results showed that BM lnc-LOC expression was significantly different between APL and healthy donors and non-APL AML. Lnc-LOC was upregulated in APL cell lines and downregulated after all-trans retinoic acid (ATRA)-induced myeloid differentiation, preliminarily verifying that lnc-LOC has the potential to be considered a treatment monitoring biomarker. PB lnc-LOC was positively correlated with BM lnc-LOC in APL patients, non-APL AML patients and healthy donors and decreased sharply after complete remission (CR). However, upregulated lnc-LOC was manifested in relapsed-refractory patients. A positive correlation was revealed between PB lnc-LOC and PML-RARα transcript levels in BM samples. Furthermore, we observed a positive correlation between PB lnc-LOC and BM lnc-LOC expression in APL patients, suggesting that lnc-LOC can be utilized as a noninvasive biomarker for MRD surveillance.",,No,,35501730
LNC-LBCS,LncRNA,Homo sapiens,Urinary Bladder Neoplasms,BCSCs and cancer tissues,Regulation[ lnc-LBCS-hnRNPK-EZH2-SOX2 regulatory axis],RNA Pull-Down//Western Blot//ISH//qRT-PCR//RIP//Microarray//IHC//ChIP,"Lnc-LBCS is significantly downregulated in BCSCs and cancer tissues, and correlates with tumor grade, chemotherapy response, and prognosis. The lnc-LBCS-hnRNPK-EZH2-SOX2 regulatory axis may represent a therapeutic target for clinical intervention in chemoresistant bladder cancer.","Lnc-LBCS is significantly downregulated in BCSCs and cancer tissues, and correlates with tumor grade, chemotherapy response, and prognosis. ",No,,30397178
LNC-LBCS,LncRNA,Homo sapiens,Prostatic Neoplasms,CRPC cells lines and tissues,Interaction[hnRNPK],RNA Pull-Down//Western Blot//qPCR//RIP//MTT//Microarray//IHC//ChIP, The expression of Lnc-LBCS was lower in CRPC cells lines and tissues. Lnc-LBCS functions as a novel AR translational regulator that suppresses castration resistance of prostate cancer by interacting with hnRNPK. This sheds a new insight into the regulation of CRPC by lncRNA mediated AR activation and LBCS-hnRNPK-AR axis provides a promising approach to the treatment of CRPC.,"LBCS downregulation was correlated with higher Gleason Score, T stage and poor prognosis of PCa patients.",No,,31221168
LNC-LBCS,LncRNA,Homo sapiens,COVID-19,COVID-19 patients,Regulation,Bioinformatics Analysis,"This project aims to computationally identify conserved lncRNAs potentially regulating gene expression in cytokine storm during COVID-19. We found 22 lncRNAs that can target 10 cytokines overexpressed in COVID-19 cytokine storm, 8 of which targeted two or more cytokine storm cytokines. In particular, the lncRNA non-coding RNA activated by DNA damage (NORAD), targeted five out of the ten identified cytokine storm cytokines, and is evolutionarily conserved across multiple species. These lncRNAs are ideal candidates for further in vitro and in vivo analysis.",,No,,33520952
lnc-KRT79-1:1,LncRNA,Homo sapiens,Squamous Cell Carcinoma of Head and Neck,OSCC tissues,Expression[lower expressed],qRT-PCR//Microarray,"To explore the role of lncRNAs in OSCC, we performed a genome-wide analysis of lncRNA and mRNA expression in OSCC and normal tissues. The results of the microarray assays showed that 2,294 differentially expressed lncRNAs (accounting for 2.9% of all detectable lncRNAs) and 1,938 differentially expressed mRNAs (accounting for 10.3% of all detectable mRNAs) were identified. Furthermore, 933 lncRNAs and 891 mRNAs were upregulated and 1,361 lncRNAs and 1,047 mRNAs were downregulated. The most upregulated lncRNA and mRNA were MANSC4-8:1 (FC=201.36) and MMP7 (FC=2167.59), respectively. The most downregulated lncRNA and mRNA were NR_117092 (FC=418.62) and IL36A (FC=257.61), respectively. The top 20 dysregulated lncRNAs and mRNAs are summarized in Tables III and ​andIV,IV, respectively.",,No,,30431131
lnc-KCNT2,LncRNA,Homo sapiens,"Arthritis, Gouty",blood,Expression[lower expressed],qRT-PCR//Microarray,A total of 465 mRNAs were upregulated and 506 mRNAs were downregulated in the GA patients compared with those in the HC group (Fig. 1B). Table II presents the 10 most upregulated and downregulated lncRNAs in the GA patients vs. HC group. ,,No,,31452697
lnc-ITGB7-5:2,LncRNA,Homo sapiens,Osteoarthritis, Synovial exosomes of OA patients,Expression [lower expressed],Flow Cytometry//qRT-PCR//Luciferase Report Assay//Western Blot,"There were 52 mRNAs, 196 lncRNAs and 98 circRNAs differentially expressed in synovial exosomes between osteoarthritis synovial and the control group.",,No,,34780784
lnc-ICOSLG-11:1,LncRNA,Homo sapiens,"Carcinoma, Hepatocellular",HCC tissues,Expression[highly expressed],qRT-PCR," Finally, three lncRNAs, including ENST00000522221, lnc‑HACE1‑6:1 and lnc‑ICOSLG‑11:3, are significantly upregulated in HCC tissues compared with adjacent tumor‑free tissues.",,No,,31485608
lncIAPF,LncRNA,Homo sapiens,Pulmonary Fibrosis,fibroblast,Regulation,In Vivo Experiment//Wound Healing Assay//Migration Assay//FISH//RIP," Here, highly upregulated LINC00941/lncIAPF was found to accelerate pulmonary fibrosis by promoting fibroblast-to-myofibroblast differentiation and myofibroblast proliferation and migration.",,No,,35427207
lncHDAC2,LncRNA,Homo sapiens,Liver Neoplasms,cell lines,Regulation[Hedgehog signaling ],Northern Blot//Flow Cytometry//RIP//IF//Luciferase Report Assay//IHC//ChIP,LncHDAC2 is highly expressed in HCC tumors and liver CSCs. Our findings reveal that lncHDAC2 promotes the self-renewal of liver CSCs and tumor propagation by activating the Hedgehog signaling pathway. Downregulating lncHDAC2 is a promising antitumor strategy in HCC.,,No,,30582981
lnc-HACE1-6:1,LncRNA,Homo sapiens,"Carcinoma, Hepatocellular",HCC tissues,Expression[highly expressed],qRT-PCR," Finally, three lncRNAs, including ENST00000522221, lnc‑HACE1‑6:1 and lnc‑ICOSLG‑11:2, are significantly upregulated in HCC tissues compared with adjacent tumor‑free tissues.",,No,,31485608
lnc-GNAQ-6:1,LncRNA,Homo sapiens,Stomach Neoplasms,blood,Expression[lower expressed],qRT-PCR//Western Blot,"The results of qRT-PCR showed that compared with the healthy control, the expression of lnc-GNAQ-6:1 was significantly lower in the gastric cancer group. ",,No,,31730812
lnc-GAS5,LncRNA,Homo sapiens,"Rhinitis, Allergic", AR patients ,Interaction(miR-21 and miR-140),qRT-PCR," Lnc-GAS5 was elevated, while miR-21 and miR-140 was downregulated in AR patients than in controls (p < 0.001).In AR patients, lnc-GAS5 was negatively correlated with miR-21 (p < 0.001), miR-140 (p < 0.001), IFN-γ (p = 0.019), and IL-2 (p = 0.039) and positively correlated with IL-4 (p = 0.004) and IL-10 (p < 0.001), individual nasal symptom scores (INSSs) for itching, sneezing, and congestion (p < 0.05), and total nasal symptom score (TNSS) (p < 0.001). ",,No,,34473845
lnc-FOXCUT,LncRNA,Homo sapiens,Triple Negative Breast Neoplasms,TNBC tissues,Expression(highly expressed),Microarray," The results of qRT-PCR confirmed notable upregulation of FOXC1, lnc-FOXCUT, and lnc-DANCR in TNBC tissues compared to non-TNBC samples (P < 0.0001, P = 0.0005, and P = 0.0008, respectively). Moreover, ROC curve analysis revealed the potential biomarker role of FOXC1 in TNBC samples.",,No,,35066769
lnc-FAM72D-3,LncRNA,Homo sapiens,"Carcinoma, Hepatocellular",blood ,Expression[highly expressed],qRT-PCR//RNA-seq," lnc-FAM72D-3 expression in hepatitis, cirrhosis, and HCC groups was significantly high compared to the control group, while lnc-EPC1-4 expression in hepatitis, cirrhosis, and HCC groups was significantly low compared to the control group (Figure 4).",,No,,32554864
lnc-EPC1-4,LncRNA,Homo sapiens,"Carcinoma, Hepatocellular",blood ,Expression[lower expressed],qRT-PCR//RNA-seq," lnc-FAM72D-3 expression in hepatitis, cirrhosis, and HCC groups was significantly high compared to the control group, while lnc-EPC1-4 expression in hepatitis, cirrhosis, and HCC groups was significantly low compared to the control group (Figure 4).",,No,,32554864
lncEPAT,LncRNA,Homo sapiens,Glioblastoma, glioma patients,Interaction(EGFR-lncEPAT-ubH2A),FISH//qRT-PCR//IHC//IF,"LncEPAT was induced by the EGFR pathway, and high-level lncEPAT expression positively correlated with the glioma grade and predicted poor survival of glioma patients. Mass spectrometry analyses revealed that lncEPAT specifically interacted with deubiquitinase USP16. LncEPAT inhibited USP16's recruitment to chromatin, thereby blocking USP16-mediated H2A deubiquitination and repressing target gene expression, including CDKN1A and CLUSTERIN. Depletion of lncEPAT promoted USP16-induced cell cycle arrest and cellular senescence, and then repressed GBM cell tumorigenesis. ","LncEPAT was induced by the EGFR pathway, and high-level lncEPAT expression positively correlated with the glioma grade and predicted poor survival of glioma patients.",No,,36197973
lnc-DEFB132-1:1,LncRNA,Homo sapiens,Osteoarthritis, Synovial exosomes of OA patients,Expression [lower expressed],Flow Cytometry//qRT-PCR//Luciferase Report Assay//Western Blot,"There were 52 mRNAs, 196 lncRNAs and 98 circRNAs differentially expressed in synovial exosomes between osteoarthritis synovial and the control group.",,No,,34780784
lnc-DDX31,LncRNA,Homo sapiens,Breast Neoplasms, breast cancer samples ,Expression [lower expressed],Bioinformatics Analysis,"Expression levels of lnc-MICAL3-2, lnc-DDX31, LINC01063, LINC02381, ENST0000615051 and lnc-TRIM43B-1 were significantly decreased in breast cancer samples compared with paired control tissues (Posterior mean difference= -2.774, -2.012, -2.012, -2.015, -0.884 and -2.872; P values= 0.019, 0.0001, 0.0001, 0.0001, 0.032 and 0.0001, respectively). ",,No,,34175685
lnc-DANCR,LncRNA,Homo sapiens,Triple Negative Breast Neoplasms,TNBC tissues,Expression(highly expressed),Microarray," The results of qRT-PCR confirmed notable upregulation of FOXC1, lnc-FOXCUT, and lnc-DANCR in TNBC tissues compared to non-TNBC samples (P < 0.0001, P = 0.0005, and P = 0.0008, respectively). Moreover, ROC curve analysis revealed the potential biomarker role of FOXC1 in TNBC samples.",,No,,35066769
lnc-CXCR3-5:2,LncRNA,Homo sapiens,Squamous Cell Carcinoma of Head and Neck,OSCC tissues,Expression[highly expressed],qRT-PCR//Microarray,"To explore the role of lncRNAs in OSCC, we performed a genome-wide analysis of lncRNA and mRNA expression in OSCC and normal tissues. The results of the microarray assays showed that 2,294 differentially expressed lncRNAs (accounting for 2.9% of all detectable lncRNAs) and 1,938 differentially expressed mRNAs (accounting for 10.3% of all detectable mRNAs) were identified. Furthermore, 933 lncRNAs and 891 mRNAs were upregulated and 1,361 lncRNAs and 1,047 mRNAs were downregulated. The most upregulated lncRNA and mRNA were MANSC4-8:1 (FC=201.36) and MMP7 (FC=2167.59), respectively. The most downregulated lncRNA and mRNA were NR_117092 (FC=418.62) and IL36A (FC=257.61), respectively. The top 20 dysregulated lncRNAs and mRNAs are summarized in Tables III and ​andIV,IV, respectively.",,No,,30431131
LNBC3,LncRNA,Homo sapiens,"Carcinoma, Non-Small-Cell Lung",NSCLC tissues，cell lines,Interaction[stabilizing BCL6 ],qRT-PCR//RIP, LNBC3 is markedly overexpressed in tumor tissues and NSCLC cell lines. The antisense oligonucleotides (ASOs) targeting LNBC3 substantially inhibited lung cancer progression. Mechanistic studies showed that LNBC3 could interact with BCL6 leading to BCL6 stabilization through reduced proteasomal degradation.,"Higher LNBC3 levels correlated with advanced TNM stages, larger tumor size, and metastasis. LNBC3 promoted NSCLC migration and viability. The in vivo experiments demonstrated that xenograft tumor growth and proliferation were facilitated with increasing LNBC3 levels. ",No,,31743519
LMO3,LncRNA,Homo sapiens,Uterine Cervical Neoplasms,cervical cancer tissues ,Expression[lower expressed],CCK8//qRT-PCR//Microarray//Colony Formation Assay//Transwell Assay,"From our results, 23,530 lncRNAs exhibited differential expression, including 9639 upregulated and 13,881 downregulated lncRNAs. The 20 top-ranked differentially expressed lncRNAs are listed in Table 1. ",,No,,32922596
lncNR4A3,LncRNA,Homo sapiens,"Leukemia, Myeloid, Acute",Bone marrow cells,regulation[NR4A3 ],qRT-PCR,"Bone marrow cells from AML patients expressed significantly reduced levels of lncNR4A3 compared to healthy controls (controls = 15, MDS= 20, p=0.05., AML= 21, p<0.01). We showed that this novel transcript, lncNR4A3 regulates NR4A3 and we hypothesize this regulatory mechanism is mediated by the modulation of the RNA processing machinery.",,No,,33330042
LINC02985,LncRNA,Homo sapiens,Colorectal Neoplasms,colorectal cancer tissues ,Expression(highly expressed),qRT-PCR//Bioinformatics Analysis, We found that lncRNAs AC156455.1 and AC104532.2 were upregulated in twelve colorectal cancer tissues compared with adjacent normal tissues using qRT-PCR.,,No,,36277972
LINC02908,LncRNA,Homo sapiens,Pancreatic Neoplasms,pancreatic cancer  tissue and serum,regulation[ miR-663a/Sox12 axis],RNA Pull-Down//Western Blot//Co-IP//qRT-PCR//RIP//Luciferase Report Assay," C9orf139 level significantly increased in the tissue and serum of patients, which had clinical diagnostic value for pancreatic cancer. The underlying mechanism of C9orf139 was that it promoted the growth of pancreatic cancer cells by modulating the miR-663a/Sox12 axis.","Patients with high C9orf139 expression had a higher risk of progressing to stage III + IV, lymph node metastasis, and poor differentiation. Cox regression analysis suggested that C9orf139, tumor-node-metastasis stage, and lymph node metastasis were independent prognostic factors in patients. ",No,,33250960
LINC02904,LncRNA,Homo sapiens,Esophageal Squamous Cell Carcinoma,cancer tissues,Expression [lower expressed],qRT-PCR//RNA-seq,We identified 1260 up-regulated/1445 down-regulated mRNAs and 402 up-regulated/741 down-regulated lncRNAs. Further functional analysis revealed differentially expressed genes (DEGs) of mRNA and lncRNA are related to different pathways. mRNA pathways are mainly involved in cell cycles while lncRNA pathways are for regulation and metabolic procession. Differentially expressed mRNAs/lncRNAs were validated with qPCR.,,No,,29604464
LINC02899,LncRNA,Homo sapiens,Atrial Fibrillation,AF tissues and matched controls,Expression[lower expressed],RNA-seq,"Among the 557 lncRNAs, 30 and 738 were up-regulated and down-regulated in AF patients compared with controls, respectively.", ,No,,31843366
LINC02893,LncRNA,Homo sapiens,"Carcinoma, Non-Small-Cell Lung",NSCLC tissues,Interaction( AL513318.2/hsa-miR-26a-5p/SLC6A8),IHC//Microarray,"In summary, the AL513318.2/hsa-miR-26a-5p/SLC6A8 network upregulates SLC6A8 expression in NSCLC and is associated with poor prognosis. ","In summary, the AL513318.2/hsa-miR-26a-5p/SLC6A8 network upregulates SLC6A8 expression in NSCLC and is associated with poor prognosis. ",No,,35251966
LINC02882,LncRNA,Homo sapiens,"Carcinoma, Hepatocellular","blood,cell lines",Interaction[microRNA-490-3p],CCK8//Wound Healing Assay//EdU Staining//Transwell Assay," Here, we have identified a long non-coding RNA, RP11-81H3.2, which is enriched in HCC and can promote its proliferation, migration, and invasion both in vitro and in vivo. In addition, our results showed that RP11-81H3.2 binds to and regulate miR-490-3p expression in the HCC cells. Moreover, we found that RP11-81H3.2 regulates the expression of TNKS2 via miR-490-3p. Further, we found that RP11-81H3.2 and miR-490-3p form a regulatory loop; the release of RP11-81H3.2 leads to the suppression of miR-490-3p expression, thus, further enhancing the expression of RP11-81H3.2.",,No,,31858324
LINC02832-204,LncRNA,Homo sapiens,Cardiovascular Diseases,blood,Expression[highly expressed],qRT-PCR//Microarray,"To validate the microarray data, four up-regulated lncRNAs (NR_037652.1, ENST00000607654.1, ENST00000589524.1 and uc004bhb.3) were selected based on the functional co-expression networks, the signal value and the validation of designed primers. A description of the four strictly screened lncRNAs is presented in Table 5. The four lncRNAs were all up-regulated between 50 Uyghur SAP patients and 50 matched controls, which were consistent with the microarray data (Figure 8). The characteristics of the 100 validated participants are shown in Table 6. For an in-depth understanding of the four lncRNAs, the target genes are mainly based on correlation of at least 0.8, not only the possible function (Supplementary Figure S1).",,No,,31413167
LINC02832-202,LncRNA,Homo sapiens,Esophageal Squamous Cell Carcinoma,plasma exosome,Expression[highly expressed],qRT-PCR//RNA-seq,"Expression levels of the lncRNAs NR_039819, NR_036133, NR_003353, ENST00000442416.1, and ENST00000416100.4 were significantly higher in exosomes from ESCC patients than non-cancer controls.",,No,,32597791
LINC02827,LncRNA,Homo sapiens,Sepsis,blood,Expression[highly expressed],qRT-PCR//RNA-seq,The top 20 dysregulated lncRNAs are summarized in Table ?Table2.2. ,,No,,33327229
LINC02760,LncRNA,Homo sapiens,Osteoarthritis, Synovial exosomes of OA patients,Expression [lower expressed],Flow Cytometry//qRT-PCR//Luciferase Report Assay//Western Blot,"There were 52 mRNAs, 196 lncRNAs and 98 circRNAs differentially expressed in synovial exosomes between osteoarthritis synovial and the control group.",,No,,34780784
LINC02620,LncRNA,Homo sapiens,Breast Neoplasms,BC tissues,Expression[highly expressed],qRT-PCR//RNA-seq,The expression levels of the top 10 upregulated and 10 downregulated lncRNAs are listed in Table 6.,,No,,30981459
LINC02620,LncRNA,Homo sapiens,Osteosarcoma,osteosarcoma specimens and cells,Interaction(miR-1303/FGF7 axis),qRT-PCR//ELISA,"We illustrated that elevated expression of BCRT1 decreases miR-1303 expression in MG-63 cell. The expression of miR-1303 is lower in osteosarcoma specimens than in non-tumor specimens. There is an inverse interrelation between miR-1303 levels and BCRT1 levels in osteosarcoma specimens. Furthermore, we identified FGF7 is one direct target gene of miR-1303 in osteosarcoma cell. Ectopic expression of miR-1303 suppresses FGF7 expression and elevated expression of BCRT1 enhanced FGF7 expression in MG-63 cell. Finally, we illustrated that BCRT1 induces osteosarcoma cell cycle and proliferation and promotes EMT progression and inflammatory mediators secretion via modulating FGF7 expression.",,No,,34102610
LINC02615,LncRNA,Homo sapiens,Breast Neoplasms,breast cancer tissues,Expression(lower expressed),qRT-PCR,Data demonstrated that expression of LINC02615 was significantly downregulated in breast cancer tissues compared to the healthy controls (P=0.046). ,,No,,34455716
LINC02613,LncRNA,Homo sapiens,Breast Neoplasms, tumor samples,Expression(lower expressed),Bioinformatics Analysis,"The expression of LINC02613 was downregulated in tumor samples and was related to poor overall survival (OS) in breast cancer patients. Statistical analysis revealed that low expression of LINC02613 was associated with Asian ethnicity, older age, higher histological grade and higher expression of estrogen receptor (ER), progesterone receptor (PR) and human epidermal growth factor receptor 2 (HER2). Positive expression of immunohistochemical markers (ER, PR and HER2), high pathological stage and N stage were independent predictors for low LINC02613 expression. Decreased expression of LINC02613 caused an increase in Wnt2 and Wnt3 protein expression, which activated the Wnt signaling pathway, thereby promoting cell cycle progression, DNA replication and glycolysis. At the same time, the antitumor immunity of the body was also weakened when the expression of LINC02613 was decreased.",The expression of LINC02613 was downregulated in tumor samples and was related to poor overall survival (OS) in breast cancer patients.,No,,35571659
LINC02560,LncRNA,Homo sapiens,Colorectal Neoplasms,CRC tissues,Expression(highly expressed),qRT-PCR//Bioinformatics Analysis,LINC02560 was significantly up-regulated in CRC in comparison to normal samples. ," There are significant differences in the expression of LINC02560 in different subgroups of N stage, M stage, carcinoembryonic antigen (CEA) level, residual tumor, TP53 status and pathological stage. The high LINC02560 expression indicated poor overall survival (OS) and progress free interval (PFI) in patients with CRC.",No,,35003370
LINC02555,LncRNA,Homo sapiens,lung squamous cell carcinoma, TCGA(409 LSCC and 49 control samples),Regulation,Bioinformatics Analysis,"Kaplan-Meier survival curves revealed prognostic capabilities for three of these lncRNAs (LINC02555, APCDD1L-DT and OTX2-AS1). A Cox regression analysis revealed this three-lncRNA signature to be significantly associated with patient survival.",A Cox regression analysis revealed this three-lncRNA signature to be significantly associated with patient survival.,No,,33910626
